model,r2_score,mae,rmse
RandomForestRegressor,0.9583563517123204,0.04885804822142923,0.07869105041101396
SVR,0.9238663183193218,0.07167284626287794,0.10639944769252704
Polynomial Regression,0.6062650762352515,0.18354753148916758,0.2419652096427505
