model,accuracy,precision_weighted,recall_weighted,f1_weighted
SVC,0.9006622516556292,0.9175153505110654,0.9006622516556292,0.8956706627788306
RandomForestClassifier,0.7880794701986755,0.8551556656944039,0.7880794701986755,0.7823555836486167
LogisticRegression,0.6578366445916115,0.669805526807204,0.6578366445916115,0.6211911647464383
